suppliername,invoiceno,taxtype,gst(y/n),itemname,qty,cp,mrp,sp,framemultipletype(y/n),frametype,framecolour,framesize,framemodel
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,MENU,1,200,700,700,N,NONE,NONE,NONE,98625
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,AIR LITE,1,200,1100,1100,N,NONE,NONE,NONE,AIR LITE
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,850,850,N,NONE,NONE,NONE,SK 1172
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,6,200,950,950,N,NONE,NONE,NONE,BR 1511
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,1150,1150,N,NONE,NONE,NONE,BR 3337
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,900,900,N,NONE,NONE,NONE,BR 3230
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,1130,1130,N,NONE,NONE,NONE,BR 3482
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,EYE Q,2,200,500,500,N,NONE,NONE,NONE,8001
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,750,750,N,NONE,NONE,NONE,SK 1172
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,ARGENTINA PLUS,1,200,680,680,N,NONE,NONE,NONE,ARGENTINA PLUS
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,4,200,2000,2000,N,NONE,NONE,NONE,CK16T152
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,2,200,1080,1080,N,NONE,NONE,NONE,CK16T137
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,750,750,N,NONE,NONE,NONE,BR 3253
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,CRITIC,2,200,800,800,N,NONE,NONE,NONE,CRITIC 003
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,XPERT ,2,200,680,680,N,NONE,NONE,NONE,XPERT
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,DEVS ,1,200,700,700,N,NONE,NONE,NONE,BABY 01
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SAM,1,200,500,500,N,NONE,NONE,NONE,SAM
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,RAJVEER 380,6,200,380,380,N,NONE,NONE,NONE,RAJVEER 380
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI KID CAMP,44,200,780,780,N,NONE,NONE,NONE,SPECSI KID CAMP
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,MILLENIUM,2,200,200,200,N,NONE,NONE,NONE,MILLENIUM
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,LEXIN,3,200,200,200,N,NONE,NONE,NONE,LEXIN
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,2,200,950,950,N,NONE,NONE,NONE,BR 3268
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SMALL BEAR,2,200,300,300,N,NONE,NONE,NONE,SMALL BEAR
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,CHOCOLATE,1,200,300,300,N,NONE,NONE,NONE,CHOCOLATE
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,580,580,N,NONE,NONE,NONE,SK 1114
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,AVENGERS,1,200,1150,1150,N,NONE,NONE,NONE,AVENGERS
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,NIGHT VISION,10,200,250,250,N,NONE,NONE,NONE,NIGHT VISION 
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,STRADA,5,200,1450,1450,N,NONE,NONE,NONE,STC 916
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,STRADA,2,200,2300,2300,N,NONE,NONE,NONE,STC 926
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,PUNK GLASS,305,200,100,100,N,NONE,NONE,NONE,PUNK
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,PRECISE,1,200,750,750,N,NONE,NONE,NONE,PRECISE
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,LERNY JOHN,1,200,550,550,N,NONE,NONE,NONE,LERNY 075
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,EAGLE ROCK,1,200,1300,1300,N,NONE,NONE,NONE,M-6804
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,TOD-GAR,3,200,1350,1350,N,NONE,NONE,NONE,M 406
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,2,200,950,950,N,NONE,NONE,NONE,BR 1511/51
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,1250,1250,N,NONE,NONE,NONE,BR 1701/53
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,4,200,2000,2000,N,NONE,NONE,NONE,CK16T149/53
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,750,750,N,NONE,NONE,NONE,SK-1172/50
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,1150,1150,N,NONE,NONE,NONE,BR 1519/51
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,2000,2000,N,NONE,NONE,NONE,CK16T152/52
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,2,200,1180,1180,N,NONE,NONE,NONE,CK16T153/54
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,2,200,2000,2000,N,NONE,NONE,NONE,CK16T152/52
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,3,200,1250,1250,N,NONE,NONE,NONE,BR 1701/53
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,EYE Q,3,200,480,480,N,NONE,NONE,NONE,6004
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SOLO,1,200,980,980,N,NONE,NONE,NONE,M 1634
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GOLD STAR,1,200,750,750,N,NONE,NONE,NONE,GST 141/49
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,METALIC,1,200,350,350,N,NONE,NONE,NONE,TR06
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,1,200,1180,1180,N,NONE,NONE,NONE,CK16T142/53
